what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365981051204
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981062739
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981798720
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1365981800662
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981804734
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981805889
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981808995
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981813301
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981818782
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981820829
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.paste",1365981821897
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365981824928
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365981825009
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981830772
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981830896
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1365981843210
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365981844944
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981865083
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981865207
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1365981883194
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365981883681
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365981892717
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365981893990
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.edit.selectAll",1365981899130
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.save",1365981899394
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365981902814
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365981904236
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365981913428
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365982385526
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1365982388312
opened,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365982391680
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365982391754
closed,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365982393038
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365982393600
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365982395699
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365982396635
activated,view,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.PackageExplorer",1365982404543
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365982407431
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365982432929
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365982434201
executed,command,org.eclipse.ui.workbench.texteditor,3.7.0.v20110928-1504,"org.eclipse.ui.edit.text.goto.lineEnd",1365982660403
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365982731221
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365982773480
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1365982947335
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365982955478
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365982959433
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365982987301
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365982989893
executed,command,org.eclipse.ui,3.7.0.v20110928-1505,"org.eclipse.ui.file.saveAll",1365983026232
deactivated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365983027132
activated,workbench,org.eclipse.ui.workbench,3.7.1.v20120104-1859,"",1365983028220
activated,view,org.eclipse.ui.console,3.5.100.v20111007_r372,"org.eclipse.ui.console.ConsoleView",1365983030373
activated,editor,org.eclipse.jdt.ui,3.7.2.v20120109-1427,"org.eclipse.jdt.ui.CompilationUnitEditor",1365983032850
